artist_name,duration,id,popularity,track_name,minutes,seconds
Claire Leslie,3:00,4HR5BN6hc4AmcPO1NK0fgK,45,24/7,3,0
Grace Marr,2:35,5BH8UixV8wu3FR5xJksIJN,2,Belong,2,35
Cade Kellam,4:02,7LcJx95sWXpqCMLxQJfhMM,46,Blessed,4,2
Forrest Frank,2:41,1716cky8w4roZox3AyO1zh,66,CELEBRATION,2,41
Forrest Frank,2:41,2YfSEfmGirtcp6C6ZcLelL,57,CELEBRATION,2,41
OAKS,3:16,2TUW3yDwsfNcBOtk8RPSqu,27,Clean,3,16
Gabriel Eziashi,13:37,2SHWUh366VIpgpDHxxtnID,34,Contemporary Praise Medley - Live,13,37
Kelly Clarkson,4:08,3knblvtjbcTtEk0HCiJHZK,53,Creep - Live,4,8
ONE HOUSE,5:04,4Cr2oltVAPC6rAUMTgot0M,30,Down In My Heart,5,4
Gabriel Eziashi,2:58,3zfPYqEqCoO6ud6PMrXqXK,43,Dry Bones,2,58
Dâmares Gomes,3:18,1V9AYsVkGvDL0XrkYvUOGv,38,Even Better,3,18
Cade Kellam,4:54,4sZLEFie6r4WxCjCUzFv4f,25,Faithful,4,54
Claire Leslie,2:50,4PqpoY1wcn4GsM4gKw7lBO,37,Falling At The Thought Of You,2,50
Samantha Ebert,3:46,0KIv0Lho9vsPCj8Sac21IV,54,Flowers,3,46
Alabaster Co.,5:32,0FYUGkkaI0OpnHVeH44kjb,16,For the Beauty of the Earth,5,32
G.E.S,3:14,7fF2rQnUkELUq0AzByzH9K,42,Free My Mind,3,14
G.E.S,2:10,5JD1bFe82TNbO4TaJiyGj5,41,Giving It to You,2,10
Paul Tomisin,7:03,4ZWMGSggxHp87KTvRoyfFn,45,Grace Story,7,3
sxxnt.,1:28,3MuYxyhq6m5OLG6NCA73RX,37,Great Is Thy Faithfulness (Reprise),1,28
DKG KIE,2:44,6qLrRZYhtWKkanyYOJfl8B,47,HOLY HUH?,2,44
kaestrings,7:30,73G3CxFPd7DNPJxzCLxQZZ,55,Haske (Live),7,30
Don Moen,4:23,0O0XO2TXrVSojmmYPZEIRu,53,How Great Thou Art,4,23
sxxnt.,3:48,5LF2W7bxWbF4QiaL6QXYSq,37,I Surrender All,3,48
Sarah Juers,3:46,4V2rRHpWP0cH2GwsSe3aqg,45,I can always find You,3,46
Cade Kellam,4:40,4HBcbRSYjIcUA1I7gTqZlQ,14,Idols,4,40
Boyce Worship Collective,4:40,34NTzNkGn13gj2fp3eFARp,30,In Christ Alone,4,40
Bidemi Olaoba,4:29,6OJooIGQRv2xjNr2AEvckI,52,Isi Gini,4,29
Bidemi Olaoba,3:08,7zCbwXUaFqcNZY3gZDEn4k,43,Iyanu,3,8
Lofi Hymns.,3:06,51dzl3snlEyQOd10f1brVh,37,Jesus paid it all.,3,6
sxxnt.,2:53,5MgOEKlQ9eQMD9ysnf5xsX,39,"Jesus, Jesus",2,53
Claire Leslie,2:44,1kxOHIlL5ae2zMPrU9aqYC,44,Light Up,2,44
Awinnah,2:49,2q0RmOoOY6QYQoep7btEhC,30,Like a Baby - Special Version,2,49
Cade Kellam,2:16,6vjatxFM1vEdZVuJoB1e4e,25,Like a Child,2,16
Cade Kellam,4:39,0aw4lGVn0ZfD6Q2AKWEd1o,44,Lilies,4,39
Anendlessocean,3:28,6dFqmkl3LQjUI8j3DuRc1M,46,Lmly,3,28
sxxnt.,3:34,3OmgBKSdpq6LPLb9wN7UYy,36,Love & Sorrow,3,34
Leslie Perez,4:56,4ZEHLlz2jMr2yDngXIKiCe,23,Make It Rain,4,56
Cade Kellam,4:24,1FqwlZmZYv65rfF1HKqXFk,36,Many Moons,4,24
kaestrings,2:20,1wg9bUjsMMJ0U9a94ZUThB,38,Masoyiyata (Acoustic),2,20
Sarah Nathalié,3:29,1laqpT8yxLoMVI1HTI8FAT,19,Merry & Bright,3,29
Grace Idowu,7:04,1q03R3KP1HVkSywYa2MEb5,45,Morning Devotion Worship,7,4
Cade Kellam,3:08,2EqR1jbioxz5zlS5CHUpKD,31,Mountains,3,8
Remii,3:06,5QuvTS6a1bovrluMVSDEpZ,40,My Baby,3,6
Forrest Frank,2:27,17bCx9UXmnmts0ly7dO1y7,69,NO L's,2,27
Cecily,1:59,6eAhDB7pprRzDYvCnOfrQb,14,Nineteen (Prelude),1,59
Cade Kellam,3:17,78rXmnzb9KW1GJ345gcH0D,18,No One,3,17
Cade Kellam,3:54,1d6mh56Nm1NB0MVrC6g1qj,39,Now I Know,3,54
Claire Leslie,2:23,6Ts6kvPCfN1RKWVojPn6Gz,42,Original,2,23
Claire Leslie,2:56,67GgkBHYX6x3qzXkNqS5oJ,48,Passenger Seat,2,56
Sarah Nathalié,2:17,5SLZcAJwJHWsLotZI4E1W4,21,Plant,2,17
Bidemi Olaoba,3:54,36F3Fmu0wxjutn8LTeZZvL,42,Prayer,3,54
Tekoa,3:24,2alkWeDWQSytDexz9nhMZ1,45,Psalm 46,3,24
G.E.S,2:43,6iiAykg47kO4pXbdzpI65p,45,RUN,2,43
G.E.S,3:02,7ouvLatrak6SvCOileFsiO,28,Righteous Man,3,2
Cade Kellam,7:37,0qyUwH5jIuOthSmYb4wy1n,19,Shepherd - Live,7,37
Alabaster Co.,2:35,5dfYyiSz7BfanN5MGflDBm,31,Shepherds,2,35
ELEVATION RHYTHM,4:40,0lvMWKWDENFmjkiR4AVHui,20,Sing Of Your Love,4,40
ELEVATION RHYTHM,4:40,3HQ9mUzgLQ6Hvl1Q1YiiKN,62,Sing Of Your Love,4,40
Cade Kellam,2:54,2N0wbZGLuD4MhlHYDGtPAg,31,Stars,2,54
sxxnt.,4:04,5JQTZfCKj3CRRFnfGRCZew,38,"Sun, Moon & Stars",4,4
Sarah Nathalié,3:03,50EP0X3UiPFmsSxG2Nqsvu,33,Sunset,3,3
121SELAH,3:46,6tM4E2Je4omnd7FwHt6tyf,47,Te Amo,3,46
Bidemi Olaoba,2:49,0Iy5fEEflk6ZLAwlezqXVE,44,The Anthem (Iwo Tani),2,49
Cade Kellam,4:17,37YidIwgcS61ZcHKeGWCOZ,30,Through the Storm,4,17
Asha Elia,1:49,5jRTgw2lvOGX1kWjvh6GpY,15,Trust,1,49
Claire Leslie,2:46,2axBVre427GCNKwAmA2V3G,36,Twenty Something,2,46
sxxnt.,2:22,04a2j62vStA6fwFMlR7Vq7,41,What Can Wash Away?,2,22
Katie Bethan,4:10,20yuDEDFVzyIAnu1TPYtx3,32,When All Creation Groans,4,10
Asha Elia,2:01,3Kuj8MAYGHTihXbVsVHr49,23,Who Woulda Known,2,1
Cade Kellam,3:44,3eBi1gGlpJVvBC061Txf1G,17,Wildfire,3,44
Forrest Frank,3:18,7JDfWHxOFo63yQmVs5wSPM,76,YOUR WAY'S BETTER,3,18
Josiah Queen,2:45,2MB2pKgf2fWBGKcewyUBUS,70,Yesterday Is Dead,2,45
Sound Of Salem,2:00,2wsRC2hWCDbyYURZ4C65hu,27,You Are The One Alive In Me RAW,2,0
Strings And Heart,2:54,4IValzT5ZRzUXyofWl8mbp,42,backseat drive,2,54
Strings And Heart,2:00,1uTwNR68qPRWXOIYpnIv8Y,46,bright eyed,2,0
Strings And Heart,2:02,1MlwlvguOnqk3vZCAWe168,57,dopamine,2,2
Strings And Heart,2:17,1oZzBciFi4arS8MrBkso9H,56,empty airport,2,17
Strings And Heart,2:57,5uHmaCMrEFNSgUbV4sPJS8,63,evergreen love,2,57
sxxnt.,2:51,0AbLFT7RZYVEzMZrNUW9cJ,38,everything i once held dear,2,51
Sinmidele,3:23,77UapKevrwTVF4nAZSCa6s,53,heaven on earth,3,23
Strings And Heart,3:44,4jFxBBeTJtvQSKMcdrCDPV,60,honeydew (praise the Lord),3,44
Strings And Heart,2:28,6kkpKpSIxrWihMFpbTS3VU,52,if i don't got you,2,28
Josiah Queen,2:52,5eOtOmwDRitSjJRNcgkKOc,66,love you to death,2,52
Strings And Heart,2:49,4MHtOzMHR64BDwUvpcFr3Q,45,more of you - single version,2,49
Sinmidele,3:30,2KHUXdmkR1C0bus8w76k0N,46,perfect union,3,30
Sinmidele,3:49,3fBZFKMe1KMafGZkjJVr7i,42,sacred,3,49
Strings And Heart,2:56,5aBhoxCIkOb1odJhyWOM6v,57,sunset silhouette,2,56
Lord's Child,3:35,7y3i2qVfAF9iheJ6IyxjnX,32,waters,3,35
